id	reason
rxn03645	MI
rxn03647	MI
rxn03648	MI
rxn03656	MI
rxn03664	MI
rxn03672	MI
rxn03673	MI
rxn03689	MI
rxn03692	MI
rxn03722	CI
rxn03723	CI
rxn03724	CI
rxn03730	CI
rxn03731	CI
rxn03732	CI
rxn03733	CI
rxn03735	CI
rxn03736	CI
rxn03737	CI
rxn03738	CI
rxn03756	CI
rxn03757	CI
rxn03761	MI
rxn03767	MI
rxn03768	CI
rxn03769	MI
rxn03770	MI
rxn03771	MI
rxn03773	CI
rxn03776	MI
rxn03777	MI
rxn03784	MI
rxn03785	CI
rxn03787	CI
rxn03789	CI
rxn03790	CI
rxn03791	CI
rxn03792	CI
rxn03793	CI
rxn03794	CI
rxn03795	CI
rxn03803	MI
rxn03810	MI
rxn03811	MI
rxn03812	MI
rxn03813	MI
rxn03815	CI
rxn03818	CI
rxn03822	CI
rxn03823	CI
rxn03825	CI
rxn03834	MI
rxn03844	MI
rxn03857	MI
rxn03862	Abstract
rxn03865	CI
rxn03900	MI
rxn03905	Abstract
rxn03937	MI
rxn03940	MI
rxn03945	MI
rxn03965	MI
rxn03967	MI
rxn03977	CI
rxn03978	Abstract
rxn03987	MI
rxn03999	CI
rxn04035	Abstract
rxn04044	Abstract
rxn04053	MI
rxn04055	MI
rxn04062	CI
rxn04069	CI
rxn04072	MI
rxn04075	MI
rxn04081	CI
rxn04083	CI
rxn04091	MI
rxn04098	MI
rxn04099	CI
rxn04102	MI
rxn04103	MI
rxn04115	MI
rxn04116	MI
rxn04117	MI
rxn04118	MI
rxn04119	MI
rxn04120	MI
rxn04121	MI
rxn04122	MI
rxn04123	MI
rxn04125	MI
rxn04128	MI
rxn04129	MI
rxn04138	MI
rxn04144	Abstract
rxn04145	MI
rxn04146	MI
rxn04150	CI
rxn04151	CI
rxn04155	CI
rxn04156	CI
rxn04157	CI
rxn04163	MI
rxn04164	CI
rxn04186	MI
rxn04187	MI
rxn04188	MI
rxn04189	MI
rxn04190	MI
rxn04191	MI
rxn04192	MI
rxn04193	MI
rxn04194	MI
rxn04197	MI
rxn04198	CI
rxn04199	MI
rxn04200	MI
rxn04201	MI
rxn04202	MI
rxn04203	MI
rxn04204	MI
rxn04205	MI
rxn04206	MI
rxn04207	MI
rxn04212	MI
rxn04213	MI
rxn04214	MI
rxn04215	CI
rxn04216	CI
rxn04217	CI
rxn04218	CI
rxn04220	MI
rxn04221	MI
rxn04222	CI
rxn04223	MI
rxn04224	MI
rxn04225	MI
rxn04226	MI
rxn04227	CI
rxn04228	CI
rxn04229	CI
rxn04230	MI
rxn04231	MI
rxn04232	MI
rxn04233	Abstract
rxn04239	CI
rxn04240	CI
rxn04241	CI
rxn04242	CI
rxn04243	CI
rxn04244	CI
rxn04245	CI
rxn04248	CI
rxn04249	CI
rxn04250	CI
rxn04251	CI
rxn04252	MI
rxn04253	MI
rxn04254	MI
rxn04255	MI
rxn04256	MI
rxn04257	MI
rxn04258	MI
rxn04259	MI
rxn04260	CI
rxn04261	CI
rxn04263	MI
rxn04265	CI
rxn04267	CI
rxn04268	CI
rxn04272	MI
rxn04273	MI
rxn04279	CI
rxn04281	CI
rxn04282	CI
rxn04283	MI
rxn04287	MI
rxn04300	CI
rxn04303	CI
rxn04304	MI
rxn04305	MI
rxn04306	MI
rxn04307	CI
rxn04309	MI
rxn04310	MI
rxn04314	MI
rxn04315	CI
rxn04319	MI
rxn04320	MI
rxn04326	CI
rxn04328	CI
rxn04329	CI
rxn04331	CI
rxn04341	MI
rxn04342	MI
rxn04343	MI
rxn04344	MI
rxn04364	MI
rxn04365	MI
rxn04366	MI
rxn04374	CI
rxn04375	CI
rxn04378	Abstract
rxn04382	Abstract
rxn04383	CI
rxn04396	CI
rxn04397	CI
rxn04398	CI
rxn04399	MI
rxn04400	MI
rxn04401	MI
rxn04402	MI
rxn04403	MI
rxn04404	MI
rxn04408	CI
rxn04409	CI
rxn04410	MI
rxn04412	MI
rxn04414	MI
rxn04420	MI
rxn04421	CI
rxn04422	MI
rxn04433	MI
rxn04434	MI
rxn04435	MI
rxn04436	MI
rxn04438	MI
rxn04439	MI
rxn04440	MI
rxn04441	MI
rxn04449	CI
rxn04450	MI
rxn04451	CI
rxn04452	MI
rxn04460	MI
rxn04461	MI
rxn04467	MI
rxn04468	CI
rxn04469	MI
rxn04470	MI
rxn04474	MI
rxn04479	CI
rxn04481	CI
rxn04486	MI
rxn04487	MI
rxn04488	MI
rxn04489	MI
rxn04490	MI
rxn04491	MI
rxn04492	MI
rxn04493	MI
rxn04496	MI
rxn04498	MI
rxn04503	Abstract
rxn04504	MI
rxn04505	MI
rxn04506	MI
rxn04507	MI
rxn04508	MI
rxn04509	MI
rxn04510	CI
rxn04511	MI
rxn04514	CI
rxn04515	MI
rxn04517	MI
rxn04519	MI
rxn04520	MI
rxn04521	CI
rxn04522	MI
rxn04523	MI
rxn04524	CI
rxn04525	MI
rxn04526	CI
rxn04527	CI
rxn04528	MI
rxn04529	MI
rxn04530	MI
rxn04532	MI
rxn04533	MI
rxn04534	MI
rxn04535	MI
rxn04536	MI
rxn04538	MI
rxn04540	MI
rxn04541	MI
rxn04544	MI
rxn04545	MI
rxn04546	MI
rxn04551	MI
rxn04552	MI
rxn04553	MI
rxn04554	MI
rxn04555	MI
rxn04556	MI
rxn04557	MI
rxn04558	MI
rxn04562	MI
rxn04563	MI
rxn04564	CI
rxn04566	MI
rxn04567	MI
rxn04568	MI
rxn04569	MI
rxn04570	MI
rxn04573	MI
rxn04574	MI
rxn04576	MI
rxn04581	MI
rxn04582	MI
rxn04583	CI
rxn04594	MI
rxn04595	MI
rxn04596	MI
rxn04605	MI
rxn04606	MI
rxn04613	MI
rxn04637	MI
rxn04638	MI
rxn04640	MI
rxn04652	MI
rxn04655	MI
rxn04656	MI
rxn04664	MI
rxn04665	MI
rxn04667	CI
rxn04668	CI
rxn04669	CI
rxn04679	MI
rxn04685	CI
rxn04686	CI
rxn04687	CI
rxn04688	CI
rxn04689	MI
rxn04690	MI
rxn04691	CI
rxn04698	CI
rxn04707	CI
rxn04708	CI
rxn04709	MI
rxn04711	MI
rxn04714	CI
rxn04716	CI
rxn04729	CI
rxn04738	MI
rxn04747	MI
rxn04764	MI
rxn04765	CI
rxn04767	CI
rxn04768	MI
rxn04770	CI
rxn04773	CI
rxn04775	MI
rxn04790	Abstract
rxn04798	MI
rxn04799	MI
rxn04800	CI
rxn04801	MI
rxn04802	MI
rxn04803	CI
rxn04804	MI
rxn04805	MI
rxn04806	CI
rxn04812	MI
rxn04813	MI
rxn04814	MI
rxn04815	MI
rxn04824	CI
rxn04825	MI
rxn04826	CI
rxn04835	MI
rxn04836	CI
rxn04837	MI
rxn04880	CI
rxn04881	CI
rxn04897	MI
rxn04899	MI
rxn04906	MI
rxn04910	CI
rxn04917	MI
rxn04918	MI
rxn04921	MI
rxn04922	MI
rxn04923	CI
rxn04926	MI
rxn04929	MI
rxn04946	MI
rxn05017	MI
rxn05019	MI
rxn05020	MI
rxn05027	MI
rxn05050	Abstract
rxn05075	MI
rxn05076	MI
rxn05077	MI
rxn05079	MI
rxn05083	MI
rxn05087	Abstract
rxn05088	Abstract
rxn05121	MI
rxn05133	MI
rxn05134	MI
rxn05139	MI
rxn05187	Abstract
rxn05231	Abstract
rxn05232	Abstract
rxn05233	Abstract
rxn05234	Abstract
rxn05235	Abstract
rxn05236	Abstract
rxn05239	Abstract
rxn05254	MI
rxn05256	Abstract
rxn05258	CI
rxn05259	CI
rxn05260	MI
rxn05262	MI
rxn05263	MI
rxn05267	MI
rxn05268	MI
rxn05270	MI
rxn05271	MI
rxn05272	MI
rxn05273	MI
rxn05281	MI
rxn05282	MI
rxn05283	MI
rxn05284	MI
rxn05289	Abstract
rxn05294	MI
rxn05296	MI
rxn05320	MI
rxn05322	Abstract
rxn05323	Abstract
rxn05327	Abstract
rxn05328	Abstract
rxn05329	Abstract
rxn05332	Abstract
rxn05333	Abstract
rxn05334	Abstract
rxn05336	Abstract
rxn05339	Abstract
rxn05341	Abstract
rxn05344	Abstract
rxn05351	Abstract
rxn05353	Abstract
rxn05354	Abstract
rxn05356	Abstract
rxn05457	Abstract
rxn05458	Abstract
rxn05460	Abstract
rxn05733	Abstract
rxn05739	MI
rxn05740	MI
rxn05747	MI
rxn05748	MI
rxn05749	MI
rxn05757	MI
rxn05758	MI
rxn05761	MI
rxn05762	CI
rxn05763	Abstract
rxn05764	Abstract
rxn05765	CI
rxn05766	CI
rxn05767	MI
rxn05776	MI
rxn05777	MI
rxn05778	Abstract
rxn05779	Abstract
rxn05780	MI
rxn05783	MI
rxn05784	MI
rxn05785	MI
rxn05786	MI
rxn05787	MI
rxn05788	MI
rxn05789	MI
rxn05790	MI
rxn05793	MI
rxn05794	CI
rxn05795	MI
rxn05796	MI
rxn05797	MI
rxn05798	MI
rxn05799	MI
rxn05800	MI
rxn05801	MI
rxn05802	MI
rxn05803	MI
rxn05804	MI
rxn05805	MI
rxn05806	MI
rxn05807	MI
rxn05808	MI
rxn05812	MI
rxn05813	Abstract
rxn05814	Abstract
rxn05815	MI
rxn05816	MI
rxn05817	MI
rxn05818	MI
rxn05819	MI
rxn05820	MI
rxn05821	MI
rxn05822	MI
rxn05823	MI
rxn05824	CI
rxn05825	MI
rxn05826	MI
rxn05827	MI
rxn05828	MI
rxn05830	MI
rxn05831	Abstract
rxn05832	MI
rxn05833	CI
rxn05835	Abstract
rxn05836	MI
rxn05837	MI
rxn05840	MI
rxn05842	MI
rxn05843	MI
rxn05844	MI
rxn05845	MI
rxn05846	MI
rxn05847	MI
rxn05848	MI
rxn05849	MI
rxn05850	MI
rxn05851	MI
rxn05852	MI
rxn05853	CI
rxn05854	CI
rxn05855	CI
rxn05856	CI
rxn05857	MI
rxn05858	Abstract
rxn05859	CI
rxn05860	Abstract
rxn05861	MI
rxn05862	MI
rxn05863	MI
rxn05864	MI
rxn05865	MI
rxn05866	MI
rxn05867	MI
rxn05868	MI
rxn05869	MI
rxn05870	MI
rxn05871	Abstract
rxn05872	Abstract
rxn05873	Abstract
rxn05874	Abstract
rxn05875	Abstract
rxn05876	Abstract
rxn05877	Abstract
rxn05878	CI
rxn05879	Abstract
rxn05880	Abstract
rxn05881	CI
rxn05882	Abstract
rxn05883	Abstract
rxn05884	MI
rxn05886	MI
rxn05888	MI
rxn05896	MI
rxn05898	MI
rxn05899	Abstract
rxn05900	MI
rxn05901	MI
rxn05903	MI
rxn05904	MI
rxn05905	MI
rxn05906	MI
rxn05907	MI
rxn05910	CI
rxn05911	MI
rxn05912	MI
rxn05913	MI
rxn05914	CI
rxn05917	CI
rxn05919	Abstract
rxn05920	MI
rxn05921	MI
rxn05925	MI
rxn05926	Abstract
rxn05927	CI
rxn05929	MI
rxn05931	MI
rxn05933	MI
rxn05934	CI
rxn05936	MI
rxn05941	MI
rxn05943	MI
rxn05944	Abstract
rxn05945	Abstract
rxn05947	MI
rxn05948	Abstract
rxn05949	Abstract
rxn05950	CI
rxn05951	Abstract
rxn05952	Abstract
rxn05953	CI
rxn05954	Abstract
rxn05955	Abstract
rxn05956	MI
rxn05959	MI
rxn05960	MI
rxn05962	CI
rxn05963	Abstract
rxn05964	Abstract
rxn05965	CI
rxn05966	CI
rxn05967	MI
rxn05968	Abstract
rxn05969	Abstract
rxn05970	Abstract
rxn05971	Abstract
rxn05972	MI
rxn05973	MI
rxn05975	Abstract
rxn05976	Abstract
rxn05977	Abstract
rxn05978	Abstract
rxn05979	Abstract
rxn05980	MI
rxn05981	Abstract
rxn05982	Abstract
rxn05983	Abstract
rxn05984	Abstract
rxn05985	MI
rxn05986	MI
rxn05987	MI
rxn05989	Abstract
rxn05990	CI
rxn05991	MI
rxn05992	MI
rxn05996	MI
rxn05998	MI
rxn05999	MI
rxn06000	MI
rxn06001	MI
rxn06002	Abstract
rxn06003	CI
rxn06005	Abstract
rxn06006	MI
rxn06009	MI
rxn06010	MI
rxn06012	Abstract
rxn06013	Abstract
rxn06014	MI
rxn06015	Abstract
rxn06017	MI
rxn06018	Abstract
rxn06019	MI
rxn06021	MI
rxn06022	Abstract
rxn06023	Abstract
rxn06024	MI
rxn06026	MI
rxn06027	MI
rxn06031	MI
rxn06033	Abstract
rxn06034	MI
rxn06035	Abstract
rxn06036	MI
rxn06037	Abstract
rxn06038	Abstract
rxn06039	Abstract
rxn06041	Abstract
rxn06042	MI
rxn06043	Abstract
rxn06044	Abstract
rxn06045	Abstract
rxn06046	Abstract
rxn06048	MI
rxn06049	MI
rxn06050	MI
rxn06051	MI
